URL,Title,Content
https://www.joongang.co.kr/article/25249818,[오늘의 운세] 5월 17일,"2024년 5월 17일 금요일 (음력 4월 10일) 쥐 - 재물 : 무난 건강 : 양호 사랑 : 기쁨 길방 : 東36년생 마음의 나이는 청춘. 48년생 친인척 소식 접할 수도. 60년생 자녀 자랑, 집안 자랑하는 날. 72년생 노력한 일에서 결실이 생길 수. 84년생 손실보다 이익이 많을 운. 96년생 친구 만나거나 데이트하기. 소 - 재물 : 보통 건강 : 보통 사랑 : 베풂 길방 : 南37년생 옛날이야기를 하자. 49년생 조언하거나 도움을 줄 수도. 61년생 서로 돕고 사는 것이 인지상정. 73년생 말은 아끼고 지갑은 열자. 85년생 말하기보다 주로 들어주자. 97년생 상대방 말에 맞장구쳐 주기. 호랑이 - 재물 : 지출 건강 : 주의 사랑 : 갈등 길방 : 西38년생 음식을 잘 먹어야 한다. 50년생 말하면 돌, 침묵은 금. 62년생 기울지 말고 중용을 지켜라. 74년생 직설적인 화법은 피할 것. 86년생 변은 무서워서가 아니고 더러워 피함. 98년생 고운 말, 예쁜 말하기. 토끼 - 재물 : 지출 건강 : 주의 사랑 : 답답 길방 : 西39년생 사람 많은 곳에 가지 말라. 51년생 아프면 바로 병원에 가라. 63년생 아프면 지체 없이 병원으로. 75년생 물건 분실이나 고장 안 나게 조심. 87년생 마음에 안 들 수도. 99년생 부상 안 당하게 조심하기. 용 - 재물 : 보통 건강 : 보통 사랑 : ♥ 길방 : 北40년생 정에 끌려가지 말 것. 52년생 미운 사람 떡 하나 더 주기. 64년생 미운 정, 고운 정. 76년생 사람은 정으로 살아간다. 88년생 배우자에게 관심 갖고 잘해 줄 것. 00년생 웃어 주는 이성에게 착각은 NO. 뱀 - 재물 : 무난 건강 : 양호 사랑 : 행복 길방 : 南41년생 집안에 경사가 생길 수도 있다. 53년생 초대 받거나 반가운 소식을 접할 수도. 65년생 노력하고 진행하는 일에서 성취감 맛볼 듯. 77년생 일하는 보람과 의미를 느끼는 날. 89년생 삶이 행복의 향기로. 말 - 재물 : 무난 건강 : 양호 사랑 : 열정 길방 : 西42년생 몸은 나이를 먹어도 마음은 나이를 먹지 않는다. 54년생 내 나이가 어때서, 오늘이 제일 젊은 날. 66년생 오늘 할 일은 미루지 말라. 78년생 일복이 터질 수도, 일에 욕심을. 90년생 약속이 겹칠 수도. 양 - 재물 : 보통 건강 : 보통 사랑 : 베풂 길방 : 東43년생 육류보다 채소와 과일을 섭취할 것. 55년생 오후보다는 오전이 좋을 수 있다. 67년생 정장보다는 활동하기 편하게 입자. 79년생 말로 하기보다는 문서화 시켜라. 91년생 도움을 주거나 받을 수도 있다. 원숭이 - 재물 : 보통 건강 : 보통 사랑 : 질투 길방 : 北44년생 가지 많은 나무 바람 잘 날 없다. 56년생 사공이 많으면 배가 산으로 가는 법. 68년생 나무를 보지 말고 숲을 보아야 한다. 80년생 부러워하지 말고 자신감 가질 것. 92년생 나는 나이기에 특별한 것임. 닭 - 재물 : 좋음 건강 : 튼튼 사랑 : 한마음 길방 : 西45년생 가화만사성, 가족의 화목이 행복의 근원. 57년생 최선을 다하면 하늘도 내 편이 될 듯. 69년생 오늘은 내가 주인공, 승승장구할 듯. 81년생 원 팀으로 뭉쳐야 효과 상승함. 93년생 너와 나, 우린 한마음. 개 - 재물 : 보통 건강 : 보통 사랑 : 베풂 길방 : 南34년생 사람 사는 것은 다 비슷. 46년생 좋은 것이 좋은 것. 58년생 무조건 주기만 하면 오히려 독. 70년생 먹을 건 없고 버리긴 아깝다. 82년생 조금 양보하고 손해 보는 것이 낫다. 94년생 영화, 공연 관람. 돼지 - 재물 : 무난 건강 : 양호 사랑 : 기쁨 길방 : 東35년생 낙천적이고 긍정적일 것. 47년생 소극적 말고 적극적으로. 59년생 모든 것은 제 자리가 있는 법. 71년생 살아온 세월에 자부심을 갖자. 83년생 식복 생길 듯, 과음 자제. 95년생 소소하지만 확실한 행복. 조규문(사주, 작명, 풍수 전문가)"
https://www.joongang.co.kr/article/25218840,"부부 육아휴직땐 최대 3900만원, 병장 월급은 125만원","새해 결심을 세울 때 바뀌는 정부 정책을 참고하면 좋다. 일하고, 세금을 내고, 자녀를 낳고, 출퇴근할 때 곳곳에서 영향을 미치는 내용이라서다. 기획재정부가 31일 발간한 ‘2024년부터 이렇게 달라집니다’ 책자를 통해 이런 내용을 정리했다. 결혼·출산과 관련해 늘어난 혜택이 많다. 먼저 신혼부부 결혼자금에 대한 증여세 비과세 한도가 1인당 5000만원에서 1억5000만원으로 늘어난다(양가 증여 시 최대 3억원). 혼인신고일 전후 또는 자녀 출생일부터 2년 이내 직계존속으로부터 증여받은 재산에 대해서다. 생후 18개월 이하 자녀를 둔 부모가 동시 혹은 순차적으로 육아휴직을 쓸 경우 최대 3900만원까지 준다. 첫 6개월 동안 부모 각각 육아휴직 급여를 통상임금의 100%(월 450만원)까지 받을 수 있도록 한 게 핵심이다. 자녀장려금을 받을 수 있는 소득 상한 기준은 기존 가구당 4000만원에서 7000만원, 지급액은 자녀 1인당 80만원에서 100만원으로 각각 올린다. 아파트 입주자 모집공고일 기준 2세 이하 자녀(태아 포함)가 있는 무주택 가구에 공공·민간분양 7만 가구를 특별 공급한다. 부부합산 연 소득 1억3000만원 이하(자산 5억600만원 이하) 가구가 9억원 이하 주택을 살 경우 최대 5억원까지 연 1.6~3.3%대 금리(5년 고정)로 대출받을 수 있는 ‘신생아 특례대출’도 출시한다. 10년 이상 주택담보대출 장기주택저당차입금 이자를 상환할 경우 소득공제를 받을 수 있는 주택 가격 기준을 5억원에서 6억원으로 높인다. 공제 한도는 기존 300만~1800만원에서 600만~2000만원으로 늘어난다. 재건축 초과이익환수제에 따른 초과이익 부담금 면제 기준은 기존 3000만원에서 8000만원으로 완화한다. 기업에도 큰 변화가 있다. 연결 재무제표 기준 매출 7억5000만 유로(약 1조원) 이상인 다국적 기업이 특정 국가에서 법인세 실효세율 15% 미만으로 과세하는 경우 차액분만큼을 해당 국가에 납부하는 ‘글로벌 최저한세’를 신설한다. 예를 들어 한국 기업이 법인세율 10%인 국가에 공장을 세워 매출을 올려도 차액분(5%)만큼 한국에 세금을 내야 한다. 경제협력개발기구(OECD)와 주요 20개국(G20)이 합의한 내용이다. 국내에선 삼성전자·현대차 등 200여 개 기업이 적용받는다. 중소기업의 가업 승계 시 증여세 저율 과세(10%) 구간을 기존 60억원에서 300억원으로 확대한다. 연부연납 기간도 기존 5년에서 20년으로 늘린다. 1월 1일부터 최저임금은 올해보다 2.5% 인상한 시간당 9860원(주 40시간 근무 기준 월 환산액 206만740원)이다. 병사 봉급은 1월부터 병장 기준 월 125만원으로 인상한다. 상병은 100만원, 일병은 80만원, 이병은 64만원을 받는다. 8000만원 이상 법인차에는 연두색 번호판을 붙인다. 2종 보통면허에만 적용한 ‘자동 변속기(기어)’ 조건부 운전면허를 내년 10월부터 1종 보통면허로 확대한다. 내년 5월부터 월 15회 이상 정기적으로 대중교통을 이용할 경우 이용금액의 일정 비율(20~53%)을 적립·환급(최대 60회)하는 ‘K-패스’를 도입한다. 범죄와 관련해 바뀌는 내용도 있다. 내년 10월부터 ‘5년 이내 2회 이상’ 음주운전 경력자가 운전하려면 차에 음주운전 방지장치를 달아야 한다. 범죄자에 대한 ‘머그샷(체포한 범인을 촬영한 사진)’ 강제 촬영·공개도 가능해진다."
https://www.joongang.co.kr/article/25218823,오픈AI 선두 굳히기…투자 확대·GPT 스토어 출격,"챗GPT로 전 세계를 뒤흔든 오픈AI가 연 매출 2조원을 넘겼다. 추가 투자 유치, GPT 스토어 출시로 생성 AI 경쟁에서 선두주자를 유지할 수 있을지 주목된다. 30일(현지시간) IT 매체 디인포메이션에 따르면 오픈AI의 지난해 매출은 16억 달러(약 2조800억원)를 넘어섰다. 오픈AI는 챗GPT 유료 구독과 이를 타 서비스에 API(응용프로그램 인터페이스)로 제공한 뒤 받는 사용료에서 수익을 얻는다. 디인포메이션은 “오픈AI 경영진 일부는 2024년에는 연 매출 50억 달러(약 6조5000억원)를 기록할 수 있을 것이라 보고 있다”고 보도했다. 이런 실적은 생성 AI가 ‘돈 되는 사업’이라는 것을 증명한 것이라는 평가다. 오픈AI는 2022년 매출이 2800만 달러(약 364억원)에 불과했다. 하지만 유료 서비스 ‘챗GPT 플러스’(2월), 기업용 AI 서비스 ‘챗GPT 엔터프라이즈’(8월)를 내놓으면서 매출 확대에 힘을 기울였다. 오픈AI는 사업 확장을 위한 ‘총알’도 준비하고 있다. 지난달 22일(현지시간) 블룸버그에 따르면 오픈AI는 기업가치 1000억 달러(약 130조원)를 목표로 신규 투자 유치를 진행하고 있다. 최근까지 알려진 오픈AI의 시장 가치 860억 달러를 뛰어넘은 수준이다. 올해 초에 출시할 GPT 스토어도 오픈AI의 강력한 무기다. 당초 지난해 11월 출시 예정이었으나, 최고경영자(CEO)인 샘 올트먼 축출 사태로 미뤄졌다. GPT 스토어에서는 구글·애플 앱마켓처럼 개발자들이 GPT를 활용해 만든 서비스를 사고팔 수 있게 된다. GPT 스토어가 나오게 되면 소비자대상 시장(B2C)에서 오픈AI 영향력은 더욱 커질 전망이다. AI 기기, AI칩과 같은 하드웨어에서도 오픈AI 영향력이 커질 것으로 보인다. 오픈AI는 애플 최고디자인책임자 출신 조니 아이브가 설립한 회사 ‘러브프롬’과 AI 기기를 개발하고 있다. 거침없는 오픈AI의 진격에 걸림돌이 없진 않다. 저작권 침해 문제가 있다. 뉴욕타임스(NYT)는 지난달 27일(현지시간) 자사 저작권이 침해됐다며 챗GPT 개발사인 오픈AI와 MS를 상대로 소송을 냈다. NYT가 발행한 수백만 건의 기사가 챗GPT와 코파일럿 등을 훈련하는 데 사용됐다는 주장이다. 소송 결과에 따라서 오픈AI는 NYT에 거액을 배상하는 것은 물론, 다른 콘텐트 사업자에도 배상할 가능성이 생긴다. 로버트 오펜하이머의 전기 『아메리칸 프로메테우스』의 공동 저자 카이 버드 등 작가 11명도 지난달 19일 자신들의 창작물을 무단 사용해 수십억 달러를 벌어들였다며 오픈AI와 MS를 상대로 소송을 냈다."
https://www.joongang.co.kr/article/25218831,[인사] 성균관대,◆성균관대 ▶의무부총장 남석진 ▶의과대학장 겸 의학전문대학원장 이주흥 ▶총무처장 이철우 ▶성균나노과학기술원장 이성주 ▶정보통신대학원장 최형기 ▶양자생명물리과학원장 루크리 ▶유교문화연구소장 김도일  ▶디지털교육혁신원장 배상훈 ▶교수학습혁신센터장 김동호 ▶산학협력단 연구부단장 김인수 ▶산학협력단 행정부단장 성기호 ▶정보통신/소프트웨어융합/공과대학행정실장 신현대 ▶스포츠단행정실장 정원준 ▶연구기획팀장 장민석 ▶산단안전보건팀장 이규태 ▶교육혁신팀장 박병주 ▶총괄지원팀장 박정호 ▶홍보팀장 이창형 
https://www.joongang.co.kr/article/25218861,청룡이 나르샤,"갑진년, 용의 해가 밝았다. 청룡의 푸른 기상으로 훨훨 날아오르는 한 해를 소망해 본다.용은 동서양을 불문하고 여러 전설과 신화에 등장하는 상상의 동물이다. 악어나 도마뱀, 공룡이 그 원조로 추측되는데, 중국 문헌 『광아(廣雅)』에 의하면 ‘낙타 머리, 사슴 뿔, 토끼 눈, 잉어 비늘, 매 발톱, 호랑이 주먹’ 등 아홉 가지 동물을 닮았다. 동양의 용은 재앙을 물리치고 갖은 조화를 부리는 신통한 존재다. 왕이나 절대권력을 용에 빗댔다. 왕이 앉는 평상은 ‘용상(龍床)’,  왕의 얼굴은 ‘용안(龍顔)’이다. 신라 문무왕은 죽어서 바닷속 대룡이 돼 나라를 지키겠다고 했고, 백제 무왕과 고려 태조 왕건은 스스로 용의 자손이라고 했다. 민간에선 용왕에게 만선과 무사 귀환을 기원하고, 용 그림을 가까이 두고 입신양명과 부귀영화를 바랐다. ‘용’자가 들어간 지명이 1000개가 넘는다. 우리 민속문화 속에 뿌리내린 용의 흔적들이다. 힘찬 용띠 해 아침, 경제 전문가들은 2024 한국 경제를 ‘용문점액(龍門點額)’이한 다소 유보적인 키워드로 예측했다(대한상공회의소 조사). ‘용문’ 아래 물고기가 뛰어올라 문을 넘으면 용이 되지만, 넘지 못하면 문턱에 이마를 찧고 떠내려간다는 뜻이다. 올해가 우리 경제의 미래를 가를 변곡점이라는 얘긴데, 한 발만 삐끗하면 용 아닌 이무기 신세일 수 있다는 경고이기도 하다. ‘용문’은 중국 황허의 급류 지대로, 어려운 관문을 통과해 높은 자리에 오른다는 ‘등용문(登龍門)’이라는 말도 여기서 나왔다.올해는 지역의 ‘용’들을 뽑는 총선의 해이기도 하다. 아직도 마음 둘 곳을 못 찾은 중간지대 국민이 상당수고, ‘A가 좋아서’가 아니라 ‘B가 싫어서 A를 찍는’ 비호감 선거가 재현될 우려도 여전하다. ‘386 퇴진, 789 세대교체’를 내세운 국민의힘 한동훈 비대위에 이어 민주당이 어떤 변신 카드로 ‘대표 사당(私黨)’이라는 오명을 벗을지, 진영논리의 덫에 빠진 정치가 실제 우리의 삶을 바꾸는 희망이 될 수 있을지, 3지대는 진정한 대안일 수 있는지, 남은 넉 달에 달려 있을 것이다.정치의 계절을 맞으면서 ‘항룡유회(亢龍有悔)’란 말도 떠오른다. 하늘 끝까지 올라가 내려올 줄 모르는 용은 반드시 후회할 때가 있으니, 높은 지위에 올라 겸손과 소통을 모르면 실패를 면치 못한다는 의미다. 용산(龍山)의 용이든, 지역의 용이든 국민 앞에 나서서 권력을 부리는 자들이 깊이 새겨야 할 말이다. ‘항룡’은 물속의 ‘잠룡(潛龍)’에서, 세상에 나오는 ‘현룡(見龍)’, 비상하는 ‘비룡(飛龍)’을 거쳐 더는 오를 곳 없이 올라간 단계다. 만족을 모르고 욕심을 부리면 일을 망칠 수 있다는 뜻이기도 하니, 우리 같은 범부들도 이 아침 함께 새기면 좋겠다.사실 모두가 용이 물을 만나 힘차게 날아오르는 ‘교룡득수(蛟龍得水)’를 꿈꾸지만, 세상에는 용보다 용이 못 된 이무기 같은 존재가 더 많다. 이무기 전설은 동양에만 있고, 용이 못된 억하심정으로 심술을 부리는 부정적 이미지가 강하지만, 종종 착한 이무기들도 있다. 전설에 따르면 물속에서 1000년을 기다린 이무기가 승천하려 할 때 마주친 사람이 “용이다”고 하면 용이 되고, “뱀이다”고 하면 천년을 더 기다려야 한다. 용이라 불러줘야 용이 될 수 있다는 호명과 구원의 서사다. 자기 잘못이 아니라 남의 방해나 도움 부족 등 주변의 영향으로 용이 되지 못한 이무기 전설도 많다.흥미롭게도 ‘민족의 젖줄’ 한강의 발원지인 태백산 ‘검룡소(儉龍沼)’에도 이무기 전설이 있다. ‘검룡’이란 검소한 용, 즉 부족해서 용이 되지 못한 이무기를 가리킨다. 검룡소 아래 암반의 긁힌 자국은 하늘로 오르려 발버둥치던 이무기의 발톱 자국이라고 전해진다. 이무기의 한과 아픔을 아는 민족이라는 얘기겠다. 새해에는 ‘실패의 아이콘’ 이무기들이 다시 힘을 얻고, 설혹 만년 이무기라도 서로 감싸 안는 넉넉한 세상을 꿈꿔 본다."
https://www.joongang.co.kr/article/25218814,올해 만기 회사채 70조 역대 최대…갈아타기 발행 몰릴 듯,"올해 만기를 맞는 회사채가 역대 최대 규모일 것이라는 집계가 나왔다. 31일 금융정보업체 연합인포맥스에 따르면 올해 만기가 도래하는 일반회사채는 69조8596억원 수준이다. 지난해 만기 물량(58조6028억원)보다 10조원 이상 많은 역대 최대 규모다. 신용등급 ‘A+’ 이하 비우량 회사채의 만기가 18조1228억원을 차지한다. 올해 만기를 맞는 여신전문금융회사의 여전채도 역대 최대 규모다. 카드채(28조4500억원)·캐피탈채(54조5034억원)의 만기 도래 물량이 82조9534억원에 달한다. 이는 2022년과 지난해 금리 인상 여파로 기업들이 1~2년짜리 회사채 발행을 늘린 영향이다. 조달비용을 절감하기 위해 만기가 짧은 채권 발행을 늘렸고 올해 만기가 돌아온다는 것이다. 여기에 최근 중앙은행의 금리 인하 기대감에 시장금리가 내려가 기업들의 차환(이미 발행된 채권을 새로 발행된 채권으로 상환하는 것) 발행 수요가 커질 것으로 예상된다. 1~2월에는 기관들의 자금 집행이 재개돼 회사채 발행과 수요가 몰리는 ‘연초 효과’도 있다. 올해 채권시장의 변수는 태영건설의 워크아웃 신청이다. 시장에 직접적인 여파는 크지 않을 것으로 보이지만, 부동산 PF 관련 여부에 따라 업종·등급별 양극화가 심화할 수 있다는 전망이 나온다. 신용평가사들이 건설사 신용등급 재검토에 나선 데다, 여전채 시장도 부동산 PF 익스포저(위험 노출 규모)가 상당해 조달 부담도 가중될 수 있어서다. 금융당국에 따르면 금융권 태영건설 관련 익스포저는 4조5800억원으로 금융권 총자산의 0.09% 수준이다. 정혜진 신한투자증권 연구원은 보고서에서 “건설 경기 부진이 지속하는 가운데 부동산 PF 관련 업종 기피 현상은 강화될 전망”이라고 했다."
https://www.joongang.co.kr/article/25218847,"'신도 성폭행' 만민중앙교회 이재록, 형집행정지 중 80세 사망",교회 신도들을 상습 성폭행한 혐의로 징역 16년을 선고받고 복역하다가 건강 문제로 형집행정지를 받은 이재록 만민중앙성결교회 목사가 31일 사망했다. 만민중앙교회 측에 따르면 이 목사는 80세 나이로 사망했다. 만민중앙교회 이수진 당무직무대행은 이날 생중계된 온라인 예배에서 “이재록 당회장 님 께서 오늘 아침 11시경 기도처에서 소천하셨다”고 밝혔다. 구체적인 사망원인은 밝히지 않았다. 이 목사는 수년간 만민중앙교회 소속 여신도 9명을 40여 차례 성폭행하고 강제추행한 혐의로 구속기소 돼 2019년 8월 대법원에서 징역 16년을 확정받고 대구교도소에서 복역해왔다. 이 목사는 지난 3월 대장암 말기 진단을 받고 건강 악화를 이유로 형집행정지를 허가받았다.
https://www.joongang.co.kr/article/25218854,"기득권과 새로운 단절, 빈 분리파 전시관","19세기 말 오스트리아-헝가리 제국의 수도 빈은 프로이트·쇤베르크·코코슈카 등 학문과 예술 분야의 천재들이 창조적 에너지를 발산하던 곳이다. 그러나 구체제의 모순에 찌든 제도권 문화계는 여전히 구시대적 전통을 강요했다. 1897년 일군의 진보적 예술가들이 예술협회에서 탈퇴해 이른바 ‘빈 분리파 (Wien Secession)’를 결성했다. 미술의 구스타프 클림트와 콜로만 모제르, 건축의 오토 와그너와 요세프 M. 올브리히 등이 주축 인물이었다. 이듬해 빈 시내 복판에 올브리히가 설계한 분리파 전시관을 건립하고 최초의 분리파 전시회를 개최했다. 카를 비트겐슈타인이 건설 비용을 전담했다. 20세기 최고의 언어철학자인 루드비히 비트겐슈타인의 부친이며, 제철업의 세계적 부호로 진보적 예술가들의 강력한 후원자였다. 그다지 크지 않은 규모로 로비와 전시장으로 구성된 단순한 건물이다. 단순한 백색의 입면과 전시장에 설치된 철골조의 유리 천장 등은 모더니즘을 지향한 새로운 요소들이다. 정면의 황금빛 월계구(月桂球)는 새로운 시대의 영광을 상징한 것으로 ‘황금 양배추’라는 별명을 얻었다. 월계구 아래에 “그 시대에 맞는 예술을, 그 예술에 자유를”이라는 명쾌한 선언문이 쓰여있다. 분리파 전시는 아르누보와 인상파 등 당시 유럽의 새로운 예술을 초대하고 건축과 공예, 미술과 음악의 통합을 시도했다. 1902년 14회 전시회는 베토벤에 헌정하는 통합 전시회로, 클림트가 그 유명한 ‘베토벤 프리즈’ 벽화를 그렸고, 구스타프 말러는 빈 오케스트라를 지휘해 ‘9번 교향곡’을 연주했다. 1904년 노선 갈등으로 빈 분리파는 짧은 수명을 다했으나 개방과 연대와 통합이라는 분리파의 정신은 근대를 여는 핵심적인 가치가 되었다. ‘창(創)’자는 곳간(倉)과 칼(刀)의 조합으로 낡은 기득권을 잘라낸다는 뜻이다. 창조는 단절부터 시작하는 것, 여전히 독립 전시장으로 운영되는 분리파 전시관에서 새삼 깨닫는다. 김봉렬 건축가·한국예술종합학교 명예교수"
https://www.joongang.co.kr/article/25218817,[Biz & Now] 지난해 K자동차 미국 수출 117만대…역대 최대 규모,"지난해 미국으로 수출된 국산 자동차가 8년 만에 100만 대를 돌파하며 역대 최대 실적까지 거둔 것으로 나타났다. 31일 한국자동차모빌리티산업협회(KAMA)에 따르면 지난해 1∼11월 국내에서 생산돼 미국으로 수출된 자동차 대수는 117만2612대로 집계됐다. 1986년 ‘엑셀’이 미국에 처음 진출한 이후 역대 최대 규모로, 100만 대를 넘어서기는 2015년 이후 8년 만이다."
https://www.joongang.co.kr/article/25218808,"조코비치·바일스, 세계 체육기자가 뽑은 올해의 선수","‘테니스 제왕’ 노박 조코비치(37·세르비아)와 ‘체조 여왕’ 시몬 바일스(27·미국)가 전 세계 체육기자들이 선정한 2023년 ‘올해의 선수’로 뽑혔다. 세계체육기자연맹(AIPS)은 31일 “전 세계 107개국의 회원 405명을 대상으로 진행한 올해의 선수 투표에서 남자는 조코비치, 여자는 바일스가 1위를 차지했다”고 밝혔다. 조코비치는 616표를 얻어 스웨덴의 육상선수 아먼드 듀플랜티스(335표)와 아르헨티나 축구선수 리오넬 메시(277표)를 제쳤다. 여자부의 바일스는 353표를 획득해 케냐 육상선수 페이스 키프예곤(329표)과 스페인 축구선수 아이타나본마티(297표)를 제쳤다. 조코비치는 2023년 열린 4대 메이저 대회 중 호주오픈과 프랑스오픈, US오픈 정상에 올랐다. 메이저 대회 단식 통산 우승 횟수도 역대 최다인 24회로 늘렸다. 여자 최우수 선수로 뽑힌 바일스는 지난 10월 세계체조선수권대회에서 개인종합과 평균대·마루운동·단체전에서 모두 금메달을 따내 4관왕을 차지했다. 올해 7월 개막하는 파리올림픽에서도 강력한 다관왕 후보로 꼽힌다. 한편 미국의 골프위크는 2023년 올해의 골프선수로 존 람(30·스페인)과 릴리아 부(27·미국)를 선정했다. 골프위크는 “람과 부는 만장일치로 올해의 선수에 뽑혔다. 두 선수는 2023년 한해 압도적인 성적을 거뒀다”고 설명했다. 남자골프 세계랭킹 3위인 람은 4월 마스터스를 포함해 2023년 미국프로골프(PGA) 투어에서 4차례 우승을 거뒀다. 람은 그동안 타이거 우즈, 로리 매킬로이 등과 함께 PGA 투어를 지켰지만, 지난달 전격적으로 LIV 골프 이적을 발표했다. LIV 골프로 옮기면서 받은 이적료는 4억5000만 달러(약 5800억원) 이상으로 알려졌다. 릴리아 부는 외할아버지가 공산화된 베트남을 떠나 미국으로 탈출한 보트피플의 후손이다. 그는 지난해 메이저 대회 셰브론 챔피언십과 AIG 여자오픈에서 우승했다. 미국여자프로골프(LPGA) 투어 올해의 선수상과 상금왕을 휩쓸었고, 여자골프 세계랭킹 1위를 지키고 있다."
